lat	lon	Y	year
  -5.6512001e+01   1.7633400e+02   1.2399993e-01   2.0070000e+03
  -5.6216000e+01   1.7640500e+02   4.2000095e-02   2.0070000e+03
  -5.7402000e+01   1.7486800e+02   1.4999910e-02   2.0070000e+03
  -5.1922001e+01   1.6118201e+02  -2.1399997e-01   2.0070000e+03
  -5.1332001e+01   1.6205400e+02  -1.1299993e-01   2.0070000e+03
  -5.1998001e+01   1.6171600e+02  -1.2500002e-01   2.0070000e+03
  -6.2169998e+01   1.6764900e+02   6.9999933e-03   2.0070000e+03
  -6.2606998e+01   1.6927000e+02  -1.4999994e-02   2.0070000e+03
  -6.2873001e+01   1.7001401e+02  -6.0000051e-02   2.0070000e+03
  -5.7492000e+01   1.6532300e+02  -1.7027326e-01   2.0070000e+03
  -5.8524000e+01   1.6963800e+02  -1.5640800e-01   2.0070000e+03
  -5.5705000e+01   1.7046700e+02   6.5342714e-02   2.0070000e+03
  -5.7486000e+01   1.7677000e+02   3.2791685e-02   2.0070000e+03
  -5.6735000e+01   1.7799800e+02   5.1783873e-02   2.0070000e+03
  -6.1251000e+01   1.7980600e+02   1.0367010e-01   2.0070000e+03
  -6.0063000e+01   1.7678300e+02   8.3315917e-02   2.0070000e+03
  -6.0326000e+01   1.7669800e+02   7.0386861e-02   2.0070000e+03
  -6.0243000e+01   1.7723200e+02   8.2444163e-02   2.0070000e+03
  -5.5535000e+01   1.7464200e+02   5.9385428e-02   2.0070000e+03
  -5.5327000e+01   1.7345000e+02  -8.9306497e-02   2.0070000e+03
  -5.4192000e+01   1.7825700e+02  -1.3413959e-03   2.0070000e+03
  -5.2046000e+01   1.7535600e+02   4.1718918e-02   2.0070000e+03
  -5.0452000e+01   1.7536600e+02  -1.9207064e-02   2.0070000e+03
  -5.0433000e+01   1.6436500e+02  -3.3360038e-02   2.0070000e+03
  -5.3727001e+01   1.7727400e+02   5.5000114e-02   2.0080000e+03
  -5.4431999e+01   1.7600500e+02   5.1999949e-02   2.0080000e+03
  -5.4812000e+01   1.7656000e+02   3.4000103e-02   2.0080000e+03
  -5.5842000e+01   1.7450700e+02   3.0550514e-02   2.0080000e+03
  -5.7027000e+01   1.7462300e+02   2.8497024e-02   2.0080000e+03
  -5.7394000e+01   1.7570200e+02   3.3576589e-02   2.0080000e+03
  -5.3713000e+01   1.7518200e+02  -5.5570506e-02   2.0080000e+03
  -5.0574000e+01   1.7764000e+02  -2.4847540e-02   2.0080000e+03
  -5.9069000e+01   1.7696400e+02  -1.3401394e-02   2.0080000e+03
  -5.3519000e+01   1.7594100e+02  -2.0337281e-01   2.0080000e+03
  -5.1513000e+01   1.6431200e+02   5.5701398e-02   2.0080000e+03
  -5.1844000e+01   1.6476400e+02   7.2527895e-02   2.0080000e+03
  -5.2036000e+01   1.6523800e+02  -6.0576055e-02   2.0080000e+03
  -5.8053000e+01   1.7409300e+02  -3.6350771e-02   2.0080000e+03
  -5.8238000e+01   1.7483600e+02   1.8651377e-02   2.0080000e+03
  -5.8094000e+01   1.7339300e+02   7.8299928e-03   2.0080000e+03
  -6.1661000e+01   1.6978500e+02  -4.6531195e-02   2.0080000e+03
  -6.2543000e+01   1.7317800e+02   1.7721597e-01   2.0080000e+03
  -6.1784000e+01   1.7578400e+02   5.6657993e-02   2.0080000e+03
  -5.7367000e+01   1.6987800e+02  -7.0480902e-02   2.0080000e+03
  -5.7809000e+01   1.6815900e+02  -5.7468068e-02   2.0080000e+03
  -5.8369000e+01   1.6947900e+02   6.9708988e-02   2.0080000e+03
  -5.5407000e+01   1.7594600e+02   1.4748070e-02   2.0080000e+03
  -5.5265000e+01   1.7588100e+02  -1.1330076e-02   2.0080000e+03
  -5.5252000e+01   1.7688600e+02   2.7613811e-02   2.0080000e+03
  -5.8060000e+01   1.7799300e+02  -5.9463611e-02   2.0080000e+03
  -5.7551000e+01   1.7830400e+02  -5.6646346e-02   2.0080000e+03
  -5.8058000e+01   1.7907800e+02  -5.3366664e-02   2.0080000e+03
  -5.0535999e+01   1.6463499e+02   7.9601738e-04   2.0090000e+03
  -5.0330000e+01   1.7978500e+02   6.3998995e-03   2.0090000e+03
  -6.3096000e+01   1.7862300e+02   5.8714348e-02   2.0090000e+03
  -6.2986000e+01   1.7842400e+02   4.0532191e-02   2.0090000e+03
  -5.7334000e+01   1.6788300e+02   2.2599883e-02   2.0090000e+03
  -5.8138000e+01   1.6804500e+02   7.3601890e-02   2.0090000e+03
  -5.3563000e+01   1.7956100e+02  -2.7522011e-02   2.0090000e+03
  -5.3782000e+01   1.6546100e+02   5.8468548e-02   2.0090000e+03
  -5.9160000e+01   1.6565200e+02  -3.5599259e-03   2.0090000e+03
  -6.0618000e+01   1.7628000e+02  -3.6413362e-02   2.0090000e+03
  -5.3598000e+01   1.6161301e+02  -2.8964730e-01   2.0100000e+03
  -5.5903000e+01   1.6233000e+02  -4.5934305e-02   2.0100000e+03
  -5.5696000e+01   1.7372000e+02   3.2221450e-03   2.0100000e+03
  -5.4900000e+01   1.7245400e+02  -1.2111124e-02   2.0100000e+03
  -5.3834000e+01   1.7544200e+02   4.0324218e-02   2.0100000e+03
  -5.2216999e+01   1.6243401e+02   9.1478121e-02   2.0100000e+03
  -5.1311000e+01   1.6199400e+02  -7.0519031e-02   2.0100000e+03
  -5.0997000e+01   1.6079000e+02  -2.3061251e-01   2.0100000e+03
  -5.6822000e+01   1.7260000e+02  -3.9449268e-02   2.0100000e+03
  -5.8122000e+01   1.7605700e+02   2.6276717e-02   2.0100000e+03
  -5.7845000e+01   1.7596700e+02   1.7942430e-02   2.0100000e+03
  -5.9184000e+01   1.7732500e+02   1.5481953e-02   2.0100000e+03
  -5.8710000e+01   1.7762200e+02  -5.4757923e-03   2.0100000e+03
  -5.8191000e+01   1.7790000e+02   1.3761793e-02   2.0100000e+03
  -5.5269000e+01   1.7752900e+02  -1.0755283e-01   2.0100000e+03
  -5.5831000e+01   1.7590500e+02  -6.1633025e-02   2.0100000e+03
  -5.6631000e+01   1.7459500e+02  -2.9683126e-02   2.0100000e+03
  -5.9218000e+01   1.6578200e+02   1.2342794e-01   2.0110000e+03
  -5.9287000e+01   1.6471300e+02   1.2112701e-01   2.0110000e+03
  -5.8996000e+01   1.7922100e+02   8.9431925e-02   2.0110000e+03
  -5.7951000e+01   1.7314100e+02  -1.7838769e-01   2.0110000e+03
  -5.8359000e+01   1.7358000e+02  -1.3365864e-01   2.0110000e+03
  -5.9470000e+01   1.7216800e+02   3.1741228e-02   2.0110000e+03
  -5.9431000e+01   1.6533600e+02   1.8887824e-01   2.0110000e+03
  -5.8827000e+01   1.6546600e+02   5.4271486e-02   2.0110000e+03
  -5.8449000e+01   1.6492000e+02   4.8211775e-04   2.0110000e+03
  -5.7265000e+01   1.6751700e+02   9.0678201e-02   2.0110000e+03
  -5.9430000e+01   1.7034700e+02   6.3051013e-02   2.0110000e+03
  -5.9294000e+01   1.7177000e+02   5.6503932e-02   2.0110000e+03
  -5.6415000e+01   1.6235400e+02  -1.5864934e-01   2.0110000e+03
  -5.6569000e+01   1.6260000e+02  -1.3180525e-01   2.0110000e+03
  -5.8155000e+01   1.7037400e+02  -1.2300800e-01   2.0110000e+03
  -5.8589000e+01   1.6771100e+02  -1.0634204e-01   2.0110000e+03
  -5.4651000e+01   1.7061700e+02   5.4849967e-02   2.0110000e+03
  -5.3555000e+01   1.7365500e+02   1.1592992e-01   2.0110000e+03
  -5.0726000e+01   1.7584400e+02   8.4999908e-02   2.0110000e+03
  -5.5014000e+01   1.7145000e+02  -1.0162948e-01   2.0110000e+03
  -5.3338000e+01   1.6176300e+02   2.9923639e-01   2.0110000e+03
  -5.2999000e+01   1.6310500e+02   6.4529055e-02   2.0110000e+03
  -5.3654000e+01   1.7925600e+02   4.6693776e-03   2.0120000e+03
  -5.3882000e+01   1.7994600e+02  -6.6584749e-02   2.0120000e+03
  -5.8533000e+01   1.6640000e+02   5.5570607e-02   2.0120000e+03
  -5.9454000e+01   1.6801000e+02   4.9216059e-02   2.0120000e+03
  -6.0069000e+01   1.6883900e+02   9.5821866e-02   2.0120000e+03
  -5.0103000e+01   1.6073400e+02   9.7258924e-02   2.0120000e+03
  -5.1891730e+01   1.6443549e+02  -8.9999918e-02   2.0120000e+03
  -5.1858960e+01   1.6451784e+02   6.0800075e-03   2.0120000e+03
  -5.1833180e+01   1.6459103e+02  -7.6999977e-02   2.0120000e+03
  -5.1343870e+01   1.6406674e+02  -4.8060059e-02   2.0120000e+03
  -5.2438940e+01   1.6346755e+02  -9.9803386e-03   2.0120000e+03
  -5.2462830e+01   1.6357605e+02   4.5020030e-02   2.0120000e+03
  -5.2474290e+01   1.6364420e+02   1.8000061e-02   2.0120000e+03
  -5.1989820e+01   1.6471227e+02  -1.4399995e-01   2.0120000e+03
  -5.8646000e+01   1.6337400e+02   1.5200003e-01   2.0120000e+03
  -5.8684120e+01   1.6336305e+02   1.3800010e-01   2.0120000e+03
  -5.8749290e+01   1.6330116e+02   1.6500012e-01   2.0120000e+03
  -5.8927020e+01   1.6459379e+02   7.1000008e-02   2.0120000e+03
  -5.8884740e+01   1.6476388e+02   4.6999924e-02   2.0120000e+03
  -5.9362310e+01   1.6557309e+02  -1.1003839e-01   2.0120000e+03
  -5.9377240e+01   1.6590300e+02  -1.6699998e-01   2.0120000e+03
  -5.9409260e+01   1.6616253e+02  -1.2898000e-01   2.0120000e+03
  -5.9700000e+01   1.7222600e+02  -3.7199982e-02   2.0120000e+03
  -5.9596000e+01   1.7088000e+02  -5.4559988e-02   2.0120000e+03
  -5.9104000e+01   1.7160300e+02  -9.8600037e-02   2.0120000e+03
  -5.9547000e+01   1.7114100e+02  -5.5120047e-02   2.0120000e+03
  -5.9507000e+01   1.6999700e+02  -1.9043501e-02   2.0120000e+03
  -5.6875000e+01   1.6191100e+02  -1.1852358e-01   2.0120000e+03
  -5.6956000e+01   1.6245400e+02  -8.1775276e-02   2.0120000e+03
  -5.5021000e+01   1.7761400e+02   1.1458474e-02   2.0120000e+03
  -5.6538000e+01   1.7830400e+02  -5.6870030e-02   2.0120000e+03
  -5.8774000e+01   1.6233300e+02   1.3461116e-02   2.0120000e+03
  -5.9033000e+01   1.6110600e+02  -8.4029906e-02   2.0120000e+03
  -5.9544000e+01   1.6085200e+02  -1.0122755e-01   2.0120000e+03
  -5.0594000e+01   1.7858100e+02  -3.1383974e-02   2.0120000e+03
  -5.1361000e+01   1.7861700e+02   4.8678283e-02   2.0120000e+03
  -5.6299000e+01   1.7428700e+02   1.1150493e-01   2.0120000e+03
  -5.6378000e+01   1.7266300e+02   5.1610044e-02   2.0120000e+03
  -5.5779000e+01   1.7412400e+02  -4.1000044e-02   2.0120000e+03
  -5.3030000e+01   1.7665200e+02  -7.1080192e-03   2.0120000e+03
  -5.8434000e+01   1.7243200e+02  -1.7140575e-02   2.0120000e+03
  -5.8238000e+01   1.7190300e+02  -3.6580969e-02   2.0120000e+03
  -5.7715000e+01   1.7081200e+02  -4.7430533e-02   2.0120000e+03
  -5.9504000e+01   1.7021400e+02   3.3919989e-02   2.0120000e+03
  -5.9806000e+01   1.7302100e+02  -2.0715183e-02   2.0120000e+03
  -5.9927000e+01   1.7494400e+02  -5.5935004e-02   2.0120000e+03
  -5.0894000e+01   1.6357900e+02   1.7477324e-01   2.0120000e+03
  -5.1821000e+01   1.6329800e+02   5.3711377e-02   2.0120000e+03
  -5.2857000e+01   1.6357000e+02   3.6043886e-02   2.0120000e+03
  -5.0909000e+01   1.6296200e+02  -1.0959923e-01   2.0120000e+03
  -5.2524000e+01   1.6293100e+02   8.1813162e-03   2.0120000e+03
  -6.1713000e+01   1.6706600e+02  -1.2481054e-01   2.0120000e+03
  -6.2230000e+01   1.6798900e+02   1.7999165e-03   2.0120000e+03
  -5.6554000e+01   1.6227300e+02   1.1760006e-02   2.0120000e+03
  -5.7602000e+01   1.6318400e+02  -9.8730015e-02   2.0120000e+03
